transaction_id,amount,hour_of_day,day_of_week,merchant_category,distance_from_home,distance_from_last_transaction,ratio_to_median_amount,is_foreign,is_weekend,velocity_last_hour,is_fraud
300032,30.22,12,1,9,2.5,1.2,1.56,0,0,2,0
300033,66.92,9,2,6,4.7,2.1,1.64,0,0,2,0
300034,40.16,15,4,8,0.5,0.5,1.18,0,0,2,0
300035,26.04,10,2,10,12.6,1.7,0.43,0,0,3,0
300036,42.89,21,3,6,0.1,1.2,0.86,1,0,3,0
300037,102.34,7,0,9,2.9,4.7,0.46,1,0,2,0
300038,43.54,20,6,8,5.6,2.8,1.73,1,1,3,0
300039,64.53,18,3,7,0.6,7.7,0.46,0,0,4,0
300040,64.66,6,3,2,4.5,2.6,1.18,1,0,1,0
300041,84.56,13,3,5,3.5,0.6,1.11,0,0,3,0
300042,70.0,19,3,8,0.7,0.5,0.57,1,0,2,0
300043,9.63,20,2,8,2.0,6.9,1.79,0,0,3,0
300044,164.57,18,6,2,1.3,1.5,1.26,0,1,4,0
300045,33.02,16,4,10,13.8,1.1,0.58,0,0,0,0
300046,81.25,16,6,3,10.8,0.2,0.6,0,1,1,0
300047,326.88,20,3,6,3.5,12.0,1.06,0,0,4,0
300048,64.89,12,4,4,3.6,2.1,2.42,0,0,0,0
300049,159.74,14,5,4,3.6,14.4,0.86,0,1,1,0
300050,24.61,12,1,3,0.7,2.0,1.65,0,0,6,0
300051,62.01,13,2,4,3.2,5.4,0.73,0,0,4,0
300052,27.22,19,0,1,0.9,1.1,0.94,0,0,2,0
300053,137.21,17,2,2,2.2,2.5,0.84,0,0,5,0
300054,32.51,21,3,6,14.5,3.9,0.97,0,0,3,0
300055,7.67,17,2,8,0.5,9.2,0.68,0,0,2,0
300056,11.71,12,3,2,2.3,1.1,0.65,0,0,2,0
300057,154.07,13,0,1,21.4,5.2,2.03,0,0,2,0
300058,186.13,14,5,8,0.5,3.8,1.16,0,1,2,0
300059,9.45,22,2,5,4.9,3.3,1.11,0,0,2,0
300060,25.74,15,6,6,0.7,13.2,1.26,0,1,5,0
300061,16.22,11,0,4,9.2,0.2,2.29,0,0,1,0
300062,14.85,17,6,9,2.0,1.2,1.96,0,1,3,0
300063,9.88,8,4,6,11.6,1.3,0.89,0,0,6,0
300064,13.3,18,3,2,1.1,2.0,0.95,0,0,2,0
300065,41.41,21,1,4,0.8,2.0,1.2,0,0,1,0
300066,24.99,22,6,4,6.9,1.3,1.0,0,1,4,0
300067,24.71,23,5,5,6.5,3.5,0.37,0,1,0,0
300068,50.33,14,6,4,2.1,6.2,0.9,0,1,3,0
300069,48.62,14,4,3,3.9,1.8,0.98,0,0,2,0
300070,9.31,19,0,8,0.7,1.2,2.44,0,0,3,0
300071,53.1,8,1,7,12.4,0.0,1.07,0,0,2,0
300072,18.48,20,6,7,5.0,0.2,2.5,0,1,3,0
300073,31.93,18,1,4,13.7,2.8,2.99,0,0,3,0
300074,40.38,6,0,7,0.3,8.2,1.75,0,0,1,0
300075,169.06,21,4,7,4.3,2.0,0.51,0,0,3,0
300076,5.49,23,0,3,0.5,1.3,1.3,0,0,5,0
300077,20.9,8,2,5,9.0,11.0,0.62,0,0,3,0
300078,31.77,10,3,1,6.6,4.6,1.6,0,0,2,0
300079,307.68,13,6,9,5.0,4.0,1.06,0,1,4,0
300080,68.24,21,5,9,6.7,4.5,1.09,0,1,1,0
300081,28.22,22,0,3,1.1,0.5,0.77,0,0,2,0
300082,29.71,10,1,8,3.9,12.6,0.67,0,0,1,0
300083,15.63,13,6,9,1.7,2.3,0.83,0,1,0,0
300084,94.32,16,5,6,0.2,0.8,0.89,0,1,5,0
300085,18.7,20,5,2,2.0,5.1,1.1,0,1,3,0
300086,157.32,8,1,7,0.2,0.1,0.84,0,0,0,0
300087,6.17,22,4,4,3.5,0.2,1.69,0,0,3,0
300088,39.23,22,0,2,4.1,0.4,0.76,0,0,3,0
300089,25.28,18,6,1,5.0,3.9,0.86,0,1,3,0
300090,28.21,20,6,10,1.0,5.7,1.73,0,1,2,0
300091,106.56,1,2,3,1.2,34.9,7.0,1,0,5,1
300092,99.18,13,4,3,1.7,0.1,2.06,0,0,2,0
300093,11.33,14,6,2,3.4,1.6,0.63,0,1,2,0
300094,9.98,14,3,3,0.1,8.2,1.92,0,0,1,0
300095,28.04,13,3,1,5.2,0.9,1.75,0,0,4,0
300096,38.11,14,1,7,0.8,13.7,1.02,0,0,1,0
300097,18.65,21,2,6,9.9,0.2,1.58,0,0,2,0
300098,38.69,12,0,7,1.0,2.7,0.86,0,0,2,0
300099,158.75,10,1,1,4.1,0.4,1.19,0,0,0,0
300100,5.13,15,5,4,5.6,9.6,0.99,0,1,0,0
300101,36.47,12,2,1,0.6,1.8,0.78,0,0,1,0
300102,85.58,15,0,10,13.0,0.9,5.31,0,0,1,0
300103,74.07,11,2,5,2.0,4.7,1.17,0,0,2,0
300104,198.8,7,1,9,0.2,0.2,2.02,0,0,1,0
300105,84.12,20,6,4,1.9,3.5,0.89,0,1,1,0
300106,9.18,8,1,7,16.7,4.6,0.57,0,0,3,0
300107,275.62,9,5,4,0.2,0.1,0.46,0,1,3,0
300108,123.69,17,6,4,4.0,0.0,1.14,1,1,1,0
300109,10.2,10,3,9,6.9,2.1,1.26,0,0,3,0
300110,33.33,13,0,4,1.2,5.1,0.85,0,0,1,0
300111,45.91,21,0,2,0.3,2.4,0.61,0,0,1,0
300112,9.37,9,1,9,4.6,1.9,0.82,0,0,1,0
300113,222.98,17,1,4,1.0,10.5,1.27,0,0,1,0
300114,19.49,21,4,8,7.8,0.7,2.22,0,0,1,0
300115,164.25,8,3,2,4.8,2.5,0.99,0,0,4,0
300116,51.22,20,4,4,26.9,0.3,0.69,0,0,1,0
300117,40.19,12,6,5,0.8,3.4,1.61,0,1,1,0
300118,29.49,17,5,8,0.6,5.0,1.0,0,1,0,0
300119,44.45,17,1,5,8.8,7.9,1.03,0,0,2,0
300120,4.78,13,4,6,0.7,5.8,0.76,0,0,2,0
300121,76.19,12,6,7,0.8,3.8,0.52,0,1,0,0
300122,12.72,20,0,6,4.7,1.4,0.61,0,0,0,0
300123,8.65,10,3,2,2.9,3.2,2.81,0,0,2,0
300124,27.73,10,1,3,0.3,2.7,0.52,0,0,0,0
300125,12.45,16,1,7,4.5,5.8,0.48,0,0,2,0
300126,20.27,15,2,10,8.2,7.7,2.75,0,0,3,0
300127,40.0,22,4,2,23.6,31.1,1.41,0,0,7,1
300128,16.52,18,5,5,5.5,1.3,0.9,0,1,3,0
300129,247.44,22,1,3,15.3,3.8,0.81,0,0,4,0
300130,42.54,14,2,6,14.9,1.2,0.83,0,0,1,0
300131,44.3,22,6,4,18.2,5.8,0.3,0,1,1,0
300132,95.11,13,5,4,1.2,2.4,1.11,0,1,3,0
300133,18.74,22,3,9,7.9,4.0,0.59,0,0,2,0
300134,40.23,8,6,8,7.7,5.4,1.21,0,1,3,0
300135,298.01,10,4,6,10.4,2.0,0.67,0,0,0,0
300136,460.62,12,3,6,3.2,1.3,1.03,0,0,5,0
300137,268.99,12,0,9,6.1,4.2,0.93,0,0,1,0
300138,36.7,12,4,1,0.2,2.5,0.62,0,0,1,0
300139,38.05,19,6,8,4.7,5.3,0.56,0,1,3,0
300140,11.67,19,0,9,7.3,3.7,1.11,0,0,0,0
300141,23.64,13,4,8,0.1,0.4,0.74,0,0,2,0
300142,10.92,12,2,7,7.1,10.0,0.62,0,0,1,0
300143,9.38,18,1,10,0.4,0.8,0.45,0,0,5,0
300144,14.06,14,1,5,2.0,2.8,0.75,0,0,3,0
300145,46.01,12,4,6,5.7,0.4,1.27,0,0,4,0
300146,9.52,13,6,2,4.8,0.5,0.55,1,1,1,0
300147,30.62,9,2,6,3.2,8.1,1.36,0,0,1,0
300148,157.16,20,4,6,5.0,4.0,0.78,0,0,3,0
300149,43.49,11,3,5,1.3,2.3,0.77,0,0,1,0
300150,38.97,12,6,4,14.4,1.5,0.99,0,1,5,0
300151,105.91,12,3,6,16.1,1.6,0.94,0,0,1,0
300152,12.78,18,1,10,10.0,0.3,0.71,0,0,4,0
300153,55.17,11,4,7,0.5,1.2,1.19,0,0,2,0
300154,34.03,15,5,8,2.3,3.1,0.59,0,1,1,0
300155,35.72,16,5,8,16.2,2.5,1.39,0,1,4,0
300156,3.05,14,3,4,13.1,2.0,0.53,0,0,2,0
300157,29.22,9,6,7,1.9,4.9,0.9,0,1,3,0
300158,328.32,18,1,5,4.3,2.5,0.94,0,0,0,0
300159,14.3,8,1,3,7.1,1.1,0.83,0,0,1,0
300160,41.14,10,1,5,0.3,0.8,0.94,0,0,2,0
300161,9.38,18,1,5,3.9,4.3,2.7,0,0,2,0
300162,110.16,1,1,9,9.9,1.0,1.0,0,0,2,0
300163,168.7,7,1,1,4.7,6.4,1.46,0,0,2,0
300164,59.56,9,6,8,1.7,0.9,1.11,0,1,1,0
300165,14.67,12,1,8,5.9,4.6,1.24,0,0,1,0
300166,11.49,17,1,6,22.5,2.1,1.36,0,0,1,0
300167,18.77,15,4,8,7.9,2.0,1.29,1,0,1,0
300168,69.08,10,0,4,1.2,7.3,0.44,1,0,0,0
300169,169.93,19,2,5,1.5,1.1,1.43,0,0,2,0
300170,70.3,15,1,6,2.0,6.4,1.48,0,0,2,0
300171,20.5,13,4,5,8.2,9.1,1.65,0,0,2,0
300172,38.73,10,2,5,11.4,4.6,0.89,0,0,2,0
300173,48.8,15,1,2,4.4,1.3,0.46,0,0,2,0
300174,19.74,14,1,5,4.2,4.8,1.47,0,0,2,0
300175,25.42,12,4,6,7.0,4.6,1.14,0,0,2,0
300176,5.21,9,5,1,21.2,3.5,0.64,0,1,1,0
300177,6.96,18,5,7,1.2,1.9,1.94,0,1,4,0
300178,93.85,21,3,6,7.6,0.9,1.34,0,0,0,0
300179,84.06,22,6,4,0.2,10.4,1.15,0,1,1,0
300180,20.56,11,1,4,9.9,6.0,2.01,0,0,3,0
300181,36.47,17,1,10,0.8,3.4,0.34,0,0,2,0
300182,89.99,16,4,3,1.3,1.4,1.22,0,0,4,0
300183,12.35,20,3,9,0.3,2.4,0.83,0,0,1,0
300184,38.19,16,0,5,1.3,0.1,1.05,1,0,3,0
300185,34.86,8,0,2,12.3,3.0,1.06,0,0,2,0
300186,151.81,12,1,10,7.6,13.5,0.7,0,0,8,0
300187,13.63,11,5,1,7.4,1.2,0.38,0,1,3,0
300188,34.89,22,6,5,0.5,0.6,1.28,0,1,4,0
300189,36.13,11,5,7,9.9,0.5,0.6,0,1,4,0
300190,7.88,11,5,10,0.5,3.2,1.14,0,1,4,0
300191,35.82,22,0,1,4.1,5.9,0.48,0,0,1,0
300192,482.58,18,0,9,1.0,8.1,5.75,0,0,8,1
300193,26.9,13,0,9,1.9,0.6,1.7,0,0,1,0
300194,12.13,21,3,7,0.4,3.4,1.18,0,0,1,0
300195,35.31,18,0,10,0.2,11.8,0.79,0,0,1,0
300196,252.95,19,2,4,0.3,7.3,0.4,0,0,1,0
300197,72.74,8,6,8,11.1,1.3,0.54,0,1,6,0
300198,38.48,18,0,3,1.6,1.2,1.32,0,0,1,0
300199,43.12,12,4,7,3.9,1.7,0.54,0,0,2,0
300200,63.36,15,3,5,19.3,0.2,1.83,0,0,0,0
300201,27.18,20,0,7,10.4,7.7,0.86,0,0,4,0
300202,27.65,19,0,8,1.9,0.3,2.47,0,0,0,0
300203,22.82,23,3,9,0.0,0.8,0.9,0,0,3,0
300204,26.37,8,6,4,6.4,4.4,0.29,0,1,1,0
300205,137.37,13,5,1,0.8,5.7,0.88,0,1,3,0
300206,35.84,14,1,9,1.8,5.1,0.89,0,0,0,0
300207,121.7,12,3,2,8.1,20.5,8.95,0,0,10,1
300208,33.1,13,4,2,10.1,2.0,3.28,0,0,1,0
300209,11.42,1,4,6,1.1,0.7,0.41,0,0,1,0
300210,55.97,15,5,4,0.2,0.6,0.53,0,1,1,0
300211,48.26,17,0,8,3.0,1.4,2.11,0,0,2,0
300212,114.47,2,4,1,1.9,5.1,0.48,0,0,0,0
300213,16.64,14,0,9,0.5,1.7,0.82,1,0,5,0
300214,70.18,12,5,8,0.1,0.5,1.26,0,1,1,0
300215,10.57,19,2,3,8.1,0.8,1.01,0,0,1,0
300216,44.24,21,4,8,6.6,6.0,0.64,0,0,3,0
300217,69.39,18,0,10,1.5,1.1,0.88,0,0,4,0
300218,20.74,14,3,8,3.1,6.8,0.56,0,0,4,0
300219,86.98,12,1,3,5.3,2.1,1.57,0,0,0,0
300220,12.38,17,1,3,0.3,1.1,1.73,0,0,4,0
300221,31.84,15,0,6,0.7,1.8,1.88,0,0,6,0
300222,34.2,17,0,5,2.0,0.1,2.48,0,0,4,0
300223,45.78,23,3,7,4.0,1.3,0.89,0,0,2,0
300224,49.89,15,4,7,5.4,1.3,0.65,0,0,1,0
300225,4.07,19,0,5,1.4,2.9,1.14,0,0,1,0
300226,9.71,17,2,3,8.0,7.0,0.93,0,0,4,0
300227,76.61,15,5,5,0.3,0.5,0.62,0,1,1,0
300228,256.28,18,1,3,13.2,1.1,0.78,0,0,2,0
300229,74.47,16,2,5,2.6,6.2,0.87,0,0,3,0
300230,36.61,21,1,3,12.0,0.5,1.25,0,0,1,0
300231,154.22,15,2,7,5.3,2.7,0.69,0,0,4,0
300232,103.71,0,1,9,1.0,6.7,0.8,0,0,2,0
300233,34.85,19,3,6,0.8,0.6,1.42,0,0,0,0
300234,56.24,17,5,9,3.1,0.7,1.72,0,1,2,0
300235,19.19,18,6,4,2.8,1.4,1.53,0,1,3,0
300236,391.7,16,2,8,0.8,0.5,0.4,0,0,2,0
300237,85.95,18,5,7,3.3,0.8,0.51,0,1,1,0
300238,23.35,9,6,2,2.4,6.6,2.79,0,1,2,0
300239,76.72,20,1,1,0.6,2.2,0.74,0,0,2,0
300240,51.25,13,5,9,0.3,5.4,0.58,0,1,1,0
300241,21.47,19,1,2,0.4,0.3,1.11,0,0,2,0
300242,17.08,14,1,5,2.7,5.4,1.15,0,0,2,0
300243,29.0,18,6,7,11.1,0.2,0.69,0,1,0,0
300244,24.92,21,3,8,11.3,1.0,1.9,0,0,2,0
300245,28.6,19,1,8,4.3,2.1,0.39,0,0,0,0
300246,25.34,11,3,7,0.6,1.7,0.63,0,0,4,0
300247,30.75,13,3,5,0.4,8.4,0.96,0,0,2,0
300248,36.79,8,0,9,1.9,4.8,1.29,0,0,6,0
300249,66.09,23,0,6,26.4,3.9,1.27,0,0,3,0
300250,71.2,19,5,10,12.7,0.0,1.29,0,1,2,0
300251,14.55,11,2,8,3.5,3.7,0.75,0,0,0,0
300252,5.98,10,2,9,2.4,3.3,0.39,0,0,2,0
300253,88.79,7,1,6,1.2,2.8,1.21,0,0,0,0
300254,3.97,16,3,5,1.0,1.6,1.0,0,0,3,0
300255,87.92,23,3,3,4.6,1.2,1.74,0,0,2,0
300256,40.96,17,2,1,19.1,3.7,0.58,0,0,0,0
300257,114.9,19,1,6,0.4,2.2,0.33,0,0,3,0
300258,24.87,20,5,8,12.0,0.1,0.55,0,1,1,0
300259,80.22,16,1,8,4.2,0.9,0.55,0,0,1,0
300260,50.71,19,6,3,4.9,0.9,0.91,0,1,1,0
300261,37.01,12,2,6,1.6,8.6,1.04,0,0,5,0
300262,205.59,0,6,6,2.6,2.2,1.71,0,1,5,0
300263,8.79,19,0,9,2.8,7.1,0.27,0,0,0,0
300264,18.46,14,3,6,0.5,1.1,0.66,0,0,4,0
300265,274.96,0,3,2,2.5,1.9,0.77,0,0,6,0
300266,28.08,18,5,2,1.2,4.2,1.0,0,1,1,0
300267,150.72,9,4,2,1.4,7.2,1.21,0,0,3,0
300268,24.82,16,4,7,10.7,2.3,0.72,0,0,5,0
300269,52.63,10,6,5,8.4,4.5,0.5,0,1,1,0
300270,72.4,10,1,10,5.0,0.4,1.08,0,0,2,0
300271,20.54,16,5,6,12.9,6.4,0.57,0,1,3,0
300272,17.21,14,5,2,0.1,1.7,0.4,0,1,2,0
300273,29.92,14,6,5,0.1,6.8,0.78,0,1,4,0
300274,5.24,15,3,5,2.8,3.9,1.02,0,0,0,0
300275,46.1,16,2,3,7.0,3.7,0.91,0,0,3,0
300276,20.73,18,3,8,1.0,1.9,0.67,0,0,2,0
300277,37.64,11,2,1,0.1,0.2,0.71,0,0,2,0
300278,40.91,16,4,3,1.0,3.1,1.91,0,0,2,0
300279,34.01,22,4,10,11.3,10.7,0.88,0,0,0,0
300280,8.88,14,3,6,5.1,0.6,0.79,0,0,3,0
300281,120.76,15,3,6,9.7,4.4,1.68,0,0,0,0
300282,92.5,8,2,5,18.1,5.9,0.99,1,0,6,0
300283,64.66,6,6,4,7.3,2.0,0.81,0,1,3,0
300284,46.37,9,5,3,6.8,0.1,0.86,0,1,5,0
300285,54.75,12,0,2,25.4,0.1,0.46,0,0,0,0
300286,26.71,9,5,6,5.2,0.4,1.42,0,1,1,0
300287,135.45,18,2,4,2.1,1.8,0.94,0,0,3,0
300288,25.42,14,3,9,1.4,3.6,1.37,0,0,1,0
300289,105.35,13,5,2,11.9,5.2,0.32,0,1,2,0
300290,111.46,16,3,1,8.4,0.3,0.84,0,0,0,0
300291,9.41,20,6,4,1.8,2.2,1.55,0,1,1,0
300292,36.29,13,2,6,5.4,5.2,0.69,0,0,4,0
300293,32.34,14,0,6,14.7,1.3,1.84,0,0,1,0
300294,17.27,8,5,3,1.1,4.4,2.43,0,1,2,0
300295,55.73,18,6,2,1.2,2.3,1.24,0,1,5,0
300296,214.3,19,3,9,2.2,0.4,1.66,0,0,2,0
300297,16.84,13,3,9,1.3,1.1,1.07,1,0,1,0
300298,80.74,19,3,2,0.4,4.9,1.44,0,0,0,0
300299,22.39,14,6,7,3.7,0.7,0.88,0,1,5,0
300300,60.7,23,3,4,1.1,0.2,0.33,1,0,1,0
300301,72.5,11,1,10,4.8,0.2,0.99,0,0,2,0
300302,24.09,10,6,8,14.1,3.0,1.73,0,1,2,0
300303,24.49,16,4,2,2.1,0.6,1.04,0,0,3,0
300304,47.29,21,1,5,6.4,0.4,1.09,0,0,4,0
300305,22.24,13,4,6,5.1,9.2,0.98,0,0,4,0
300306,10.37,8,1,4,9.0,10.6,0.57,0,0,2,0
300307,17.5,15,5,5,1.8,8.8,0.55,0,1,1,0
300308,49.37,15,2,3,7.5,0.7,3.16,0,0,2,0
300309,12.24,14,4,7,1.2,2.7,0.55,0,0,1,0
300310,13.19,14,2,8,1.7,0.0,0.68,0,0,2,0
300311,13.82,6,2,3,3.3,2.7,2.1,0,0,4,0
300312,28.66,13,4,5,0.7,2.0,0.63,0,0,3,0
300313,113.37,22,1,6,3.5,2.1,0.68,0,0,1,0
300314,16.48,9,3,8,0.5,5.0,0.62,0,0,2,0
300315,897.09,4,4,2,48.7,44.6,7.45,1,0,3,1
300316,9.21,15,6,1,1.5,2.0,0.56,0,1,2,0
300317,135.91,11,1,8,10.9,59.8,7.9,0,0,6,1
300318,1.88,11,4,7,0.4,0.0,2.4,1,0,0,0
300319,72.62,21,2,5,3.1,3.2,0.42,0,0,1,0
300320,8.75,13,1,1,0.7,0.1,0.78,0,0,4,0
300321,26.63,12,0,6,1.6,3.9,0.27,0,0,0,0
300322,34.16,22,5,7,8.0,0.6,0.47,0,1,1,0
300323,45.53,18,2,8,10.2,5.5,0.49,0,0,1,0
300324,14.35,19,5,5,6.6,2.3,0.39,0,1,2,0
300325,41.57,15,2,9,6.3,0.2,0.58,0,0,2,0
300326,10.53,23,3,1,3.7,2.1,0.69,0,0,4,0
300327,103.47,8,0,9,8.0,9.1,1.0,0,0,5,0
300328,9.82,23,0,5,1.1,0.8,0.71,0,0,1,0
300329,124.17,19,5,5,23.2,0.2,0.26,0,1,0,0
300330,82.63,9,0,10,2.4,0.8,1.26,1,0,1,0
300331,52.72,15,6,9,13.8,4.6,1.12,0,1,1,0
300332,43.94,11,6,9,2.4,5.1,0.5,0,1,1,0
300333,12.36,14,2,9,1.0,0.1,0.58,0,0,1,0
300334,26.12,14,2,3,0.9,3.1,1.67,0,0,1,0
300335,9.99,15,1,1,4.3,4.1,2.28,0,0,1,0
300336,35.73,16,6,9,4.9,0.5,1.13,0,1,2,0
300337,13.4,16,5,7,0.7,5.0,1.8,0,1,2,0
300338,14.23,10,1,9,2.5,0.3,0.91,0,0,3,0
300339,3.88,12,3,8,7.8,1.1,1.31,0,0,2,0
300340,36.03,8,0,8,6.8,10.0,0.62,0,0,4,0
300341,33.8,11,5,1,3.7,2.3,1.5,0,1,2,0
300342,14.36,0,3,9,12.4,7.2,1.18,0,0,3,0
300343,12.96,14,5,8,6.5,4.2,0.71,1,1,4,0
300344,20.39,14,1,1,7.1,1.2,1.63,0,0,3,0
300345,114.86,13,2,5,1.5,6.6,1.0,0,0,4,0
300346,8.47,23,1,7,9.5,14.0,0.71,0,0,3,0
300347,20.66,11,0,5,6.0,1.5,0.76,0,0,2,0
300348,44.4,23,4,2,3.4,1.5,0.55,0,0,4,0
300349,51.66,21,4,9,0.3,3.3,0.66,0,0,1,0
300350,58.24,22,1,2,2.4,0.5,1.48,1,0,1,0
300351,15.79,15,4,6,6.7,0.1,0.95,0,0,0,0
300352,19.11,14,6,5,1.7,9.1,1.36,1,1,1,0
300353,20.45,13,4,1,5.2,1.6,1.0,1,0,2,0
300354,15.76,10,2,3,2.7,1.6,0.76,0,0,2,0
300355,91.26,12,2,3,5.6,0.7,0.7,0,0,0,0
300356,19.6,10,3,1,2.6,8.0,1.31,0,0,3,0
300357,41.34,23,3,8,3.2,6.8,2.99,0,0,2,0
300358,23.62,14,3,8,1.3,2.2,0.26,0,0,4,0
300359,11.38,13,1,9,2.9,0.6,2.57,0,0,3,0
300360,23.41,10,3,7,12.0,0.3,0.75,0,0,1,0
300361,41.81,13,3,3,6.0,3.3,0.98,0,0,0,0
300362,58.41,9,3,5,0.7,4.9,2.24,0,0,2,0
300363,6.48,20,4,9,4.4,0.4,1.44,0,0,0,0
300364,64.81,9,3,9,2.1,0.1,0.71,0,0,3,0
300365,80.67,18,2,7,1.1,1.5,1.09,0,0,3,0
300366,7.71,11,3,9,18.5,2.8,2.37,0,0,3,0
300367,72.31,22,5,5,1.4,0.0,0.56,0,1,0,0
300368,161.64,12,1,7,12.0,3.9,1.48,0,0,1,0
300369,63.68,13,5,5,17.9,5.6,1.3,0,1,2,0
300370,112.78,15,3,10,0.1,8.8,3.0,0,0,4,0
300371,33.98,8,3,8,11.2,3.1,0.79,0,0,1,0
300372,35.08,13,3,4,3.7,3.6,0.89,0,0,3,0
300373,12.84,9,0,10,4.5,1.5,1.38,0,0,1,0
300374,38.55,0,5,8,1.5,6.5,0.92,0,1,2,0
300375,25.89,14,4,8,0.3,2.6,1.28,0,0,2,0
300376,18.1,18,4,2,4.3,0.5,0.54,0,0,3,0
300377,10.09,16,3,8,4.4,3.9,0.55,0,0,1,0
300378,38.3,21,3,2,5.4,1.6,2.13,0,0,1,0
300379,61.24,16,4,1,1.9,0.9,0.45,0,0,1,0
300380,15.55,5,2,8,4.4,1.6,0.66,0,0,0,0
300381,9.18,17,6,4,3.0,0.6,1.88,0,1,2,0
300382,19.83,9,3,1,11.2,2.3,1.12,0,0,2,0
300383,48.2,13,0,6,3.6,1.8,0.8,0,0,4,0
300384,173.82,15,0,3,2.0,2.3,0.85,0,0,2,0
300385,38.22,15,4,10,7.3,1.1,0.83,0,0,0,0
300386,8.43,13,0,7,9.3,1.5,0.98,0,0,0,0
300387,99.23,17,3,3,1.2,3.1,0.83,1,0,5,0
300388,25.56,19,5,1,5.2,6.5,0.4,0,1,1,0
300389,20.48,9,0,8,2.6,1.2,1.39,0,0,6,0
300390,35.2,11,5,9,1.5,7.4,2.58,0,1,1,0
300391,8.94,17,1,8,14.3,1.2,4.36,0,0,4,0
300392,23.54,9,3,2,1.1,2.6,0.99,0,0,1,0
300393,319.85,6,3,9,16.9,15.4,6.78,0,0,6,1
300394,53.8,11,5,10,6.8,1.5,0.77,0,1,2,0
300395,34.12,20,5,6,9.4,5.9,1.67,0,1,3,0
300396,13.36,10,2,2,5.6,0.2,0.59,0,0,1,0
300397,25.8,18,4,5,17.7,2.6,1.41,0,0,2,0
300398,76.83,18,0,3,1.2,0.5,2.06,0,0,0,0
300399,97.4,19,0,9,13.4,3.8,0.56,0,0,1,0
300400,71.05,17,5,8,1.0,0.2,0.58,0,1,3,0
300401,163.75,10,0,3,6.4,1.1,0.74,0,0,2,0
300402,162.72,18,3,6,5.0,2.3,0.75,0,0,3,0
300403,42.52,11,6,6,4.9,6.3,1.09,0,1,1,0
300404,76.87,12,0,1,2.5,1.0,2.53,0,0,2,0
300405,19.4,12,5,4,0.2,2.7,0.6,0,1,1,0
300406,35.67,21,5,1,3.5,0.7,0.58,0,1,1,0
300407,32.74,11,4,10,1.0,0.7,0.71,0,0,4,0
300408,121.95,9,5,6,0.4,2.7,2.47,0,1,2,0
300409,58.91,18,4,5,0.2,2.5,0.56,0,0,1,0
300410,41.48,14,3,4,12.8,1.2,0.59,0,0,3,0
300411,4.59,12,5,1,3.7,2.3,2.25,0,1,3,0
300412,22.13,18,5,8,0.1,2.0,0.48,0,1,2,0
300413,7.91,14,6,7,6.1,1.3,4.1,0,1,2,0
300414,112.05,20,4,1,9.5,1.0,3.19,0,0,3,0
300415,153.32,18,4,6,0.9,1.7,0.51,0,0,2,0
300416,106.57,12,2,5,4.4,6.6,2.53,0,0,4,0
300417,12.48,22,3,7,1.0,0.4,0.89,0,0,1,0
300418,16.93,11,6,10,6.0,0.4,1.67,0,1,3,0
300419,57.07,13,5,6,5.7,0.1,1.84,0,1,1,0
